log_date,app_id,utm_source,sum_duration,users
2022-11-30,Android,AdShmop,479820.0,52
2022-11-30,Android,IronSink,198300.0,22
2022-11-30,Android,Mota,65820.0,7
2022-11-30,Android,organic,4189320.0,486
2022-11-30,iOS,AdShmop,1287660.0,148
2022-11-30,iOS,IronSink,477840.0,57
2022-11-30,iOS,Mota,86400.0,11
2022-11-30,iOS,organic,9582000.0,1132
2022-11-30,PC,AdShmop,631560.0,79
2022-11-30,PC,IronSink,192480.0,26
2022-11-30,PC,Mota,61500.0,8
2022-11-30,PC,organic,5232060.0,607
2022-11-30,Web,AdShmop,210300.0,25
2022-11-30,Web,IronSink,191040.0,23
2022-11-30,Web,Mota,31320.0,4
2022-11-30,Web,organic,2283360.0,265
2022-12-01,Android,AdShmop,521520.0,61
2022-12-01,Android,IronSink,363300.0,40
2022-12-01,Android,Mota,72840.0,8
2022-12-01,Android,organic,4672380.0,542
2022-12-01,iOS,AdShmop,1027560.0,117
2022-12-01,iOS,IronSink,744900.0,76
2022-12-01,iOS,Mota,206340.0,25
2022-12-01,iOS,organic,10385280.0,1174
2022-12-01,PC,AdShmop,768600.0,85
2022-12-01,PC,IronSink,295200.0,37
2022-12-01,PC,Mota,87900.0,8
2022-12-01,PC,organic,5686860.0,652
2022-12-01,Web,AdShmop,301920.0,33
2022-12-01,Web,IronSink,179280.0,21
2022-12-01,Web,Mota,18900.0,3
2022-12-01,Web,organic,2353800.0,263
2022-12-02,Android,AdShmop,591420.0,69
2022-12-02,Android,IronSink,429960.0,48
2022-12-02,Android,Mota,99120.0,10
2022-12-02,Android,organic,4600920.0,534
2022-12-02,iOS,AdShmop,1351500.0,149
2022-12-02,iOS,IronSink,529020.0,61
2022-12-02,iOS,Mota,192780.0,23
2022-12-02,iOS,organic,10067520.0,1146
2022-12-02,PC,AdShmop,736080.0,86
2022-12-02,PC,IronSink,326460.0,35
2022-12-02,PC,Mota,78360.0,10
2022-12-02,PC,organic,6002340.0,684
2022-12-02,Web,AdShmop,305340.0,35
2022-12-02,Web,IronSink,137220.0,15
2022-12-02,Web,Mota,56520.0,6
2022-12-02,Web,organic,2271660.0,259
2022-12-03,Android,AdShmop,594540.0,67
2022-12-03,Android,IronSink,361020.0,41
2022-12-03,Android,Mota,50340.0,7
2022-12-03,Android,organic,4339920.0,498
2022-12-03,iOS,AdShmop,1423560.0,166
2022-12-03,iOS,IronSink,548640.0,64
2022-12-03,iOS,Mota,169380.0,21
2022-12-03,iOS,organic,10257180.0,1181
2022-12-03,PC,AdShmop,799560.0,94
2022-12-03,PC,IronSink,247320.0,29
2022-12-03,PC,Mota,107400.0,12
2022-12-03,PC,organic,5735520.0,668
2022-12-03,Web,AdShmop,419760.0,48
2022-12-03,Web,IronSink,149760.0,18
2022-12-03,Web,Mota,58980.0,7
2022-12-03,Web,organic,2395080.0,281
2022-12-04,Android,AdShmop,594540.0,71
2022-12-04,Android,IronSink,352620.0,43
2022-12-04,Android,Mota,91320.0,12
2022-12-04,Android,organic,4282140.0,493
2022-12-04,iOS,AdShmop,1470780.0,176
2022-12-04,iOS,IronSink,542700.0,61
2022-12-04,iOS,Mota,205740.0,22
2022-12-04,iOS,organic,10335480.0,1185
2022-12-04,PC,AdShmop,807060.0,96
2022-12-04,PC,IronSink,379080.0,41
2022-12-04,PC,Mota,110160.0,13
2022-12-04,PC,organic,5528880.0,647
2022-12-04,Web,AdShmop,333180.0,38
2022-12-04,Web,IronSink,135600.0,14
2022-12-04,Web,Mota,34560.0,3
2022-12-04,Web,organic,2358360.0,280
