utm_source,install_date,uniques,perc_dau
organic,2022-11-30,162,0.3468950749464668
IronSink,2022-11-30,146,0.31263383297644537
AdShmop,2022-11-30,138,0.2955032119914347
Mota,2022-11-30,21,0.044967880085653104
organic,2022-12-01,167,0.35084033613445376
IronSink,2022-12-01,151,0.3172268907563025
AdShmop,2022-12-01,130,0.27310924369747897
Mota,2022-12-01,28,0.058823529411764705
organic,2022-12-02,208,0.3674911660777385
AdShmop,2022-12-02,176,0.31095406360424027
IronSink,2022-12-02,163,0.2879858657243816
Mota,2022-12-02,19,0.03356890459363958
organic,2022-12-03,194,0.34767025089605735
AdShmop,2022-12-03,179,0.3207885304659498
IronSink,2022-12-03,160,0.2867383512544803
Mota,2022-12-03,25,0.044802867383512544
IronSink,2022-12-04,191,0.34790528233151186
organic,2022-12-04,176,0.3205828779599271
AdShmop,2022-12-04,164,0.2987249544626594
Mota,2022-12-04,18,0.03278688524590164
organic,2022-12-05,150,0.33707865168539325
IronSink,2022-12-05,142,0.31910112359550563
AdShmop,2022-12-05,135,0.30337078651685395
Mota,2022-12-05,18,0.04044943820224719
organic,2022-12-06,142,0.3256880733944954
IronSink,2022-12-06,141,0.32339449541284404
AdShmop,2022-12-06,134,0.3073394495412844
Mota,2022-12-06,19,0.04357798165137615
organic,2022-12-07,162,0.3922518159806295
IronSink,2022-12-07,117,0.28329297820823246
AdShmop,2022-12-07,115,0.2784503631961259
Mota,2022-12-07,19,0.04600484261501211
organic,2022-12-08,162,0.3960880195599022
IronSink,2022-12-08,118,0.2885085574572127
AdShmop,2022-12-08,111,0.2713936430317848
Mota,2022-12-08,18,0.044009779951100246
organic,2022-12-09,171,0.3758241758241758
IronSink,2022-12-09,138,0.3032967032967033
AdShmop,2022-12-09,126,0.27692307692307694
Mota,2022-12-09,20,0.04395604395604396
organic,2022-12-10,181,0.3376865671641791
AdShmop,2022-12-10,174,0.3246268656716418
IronSink,2022-12-10,153,0.28544776119402987
Mota,2022-12-10,28,0.05223880597014925
organic,2022-12-11,186,0.37424547283702214
AdShmop,2022-12-11,156,0.31388329979879276
IronSink,2022-12-11,141,0.2837022132796781
Mota,2022-12-11,14,0.028169014084507043
organic,2022-12-12,182,0.37916666666666665
IronSink,2022-12-12,137,0.28541666666666665
AdShmop,2022-12-12,136,0.2833333333333333
Mota,2022-12-12,25,0.052083333333333336
organic,2022-12-13,135,0.32142857142857145
IronSink,2022-12-13,134,0.319047619047619
AdShmop,2022-12-13,132,0.3142857142857143
Mota,2022-12-13,19,0.04523809523809524
